episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20
60,30,31,-0.045587487518787384,0.4087315797805786,0.33640190958976746,1.5414018630981445,0,3,0,12,8,-1.0,25.943634510040283,0.98510824420837,0.04357525408267975,0.08587285869419575,0.0,0.0,0.0,0.04159858226776123,0.08799264521598817,0.04549348742961884,-0.10898940563201905,0.0,0.0423203706741333,0.0,0.041665494441986084,0.0,0.0,0.04383526146411896,0.0,0.044232836365699774,0.041818052530288696,0.043300038576126104,0.0
61,30,31,0.36624452471733093,0.4083351492881775,0.25429078936576843,1.3422276973724365,0,3,0,11,12,1.0,26.101584136486053,0.98510824420837,-0.10893136262893677,0.08148360013961792,0.0,-0.10912204980850221,0.0,0.05212023516271294,0.04263978004455567,0.04279793202877045,0.09041526140570641,0.0,0.04392296671867371,0.0,-0.029065737724304208,0.04291406273841858,0.04404840469360352,0.04412952661514283,0.04653847300708294,0.0,0.04399876594543457,0.0,0.0
62,30,31,0.1824263483285904,0.40937432646751404,0.5392863750457764,1.6726346015930176,0,3,1,13,3,-3.5,26.3003848195076,0.98510824420837,0.0,0.0,0.0,-0.0651074469089508,0.04434518218040467,0.0,0.04456502795219422,0.0,-0.10910063982009888,0.08161619871854783,0.04314664006233215,0.0,0.08063709557056428,0.047731835481524466,0.043452864885330206,0.0,0.04329728782176972,0.09108669815248549,0.04386006593704224,-0.1093036413192749,0.04240952134132386
63,30,31,-0.12337736040353775,-0.40070661902427673,-0.622783899307251,-1.9498153924942017,0,-3,-1,-16,0,-5.0,25.882005214691162,0.98510824420837,-0.10895612239837647,0.0,0.04410766959190369,0.0,0.045650182405114176,0.0,0.0,-0.10897254943847656,0.0,0.04983732801228762,-0.067146897315979,0.0,0.04341209828853607,0.0,0.0,0.04173136949539185,0.042447569966316226,0.0,-0.0678738296031952,0.0,0.044416993856430054
64,30,31,-0.21161669492721558,-0.4151674211025238,0.10890377312898636,-0.9336457848548889,0,-3,0,-7,20,5.0,25.964556455612183,0.98510824420837,0.0426493376493454,0.16872315507783295,-0.06950463026762008,0.08721057951033116,0.04431220591068268,0.0,0.04239773750305176,0.042449098825454716,0.0,0.0,0.0,0.0,0.0,0.046034780749678615,0.042605033516883856,0.08875672519207001,0.0445350706577301,0.0,0.0,0.08911607265472413,-0.07007036179304121
65,30,31,0.1808776557445526,0.40991249680519104,0.30193525552749634,1.2618353366851807,0,3,0,10,14,2.0,26.404255211353302,0.98510824420837,0.08456276893615725,0.0,0.04289118051528931,0.04429107010364533,0.0,0.08661513030529022,0.0,0.0,0.0,0.04452401399612427,0.08790303261280061,0.04440994262695313,0.09220539503574371,0.0,-0.06495973469048738,0.043340960144996644,0.04397281706333161,0.1625594711303711,0.04441258013248444,0.043989890813827516,0.09225536742836238
66,30,31,-0.2401767522096634,-0.41111353039741516,-1.4348150491714478,-2.9667000770568848,0,-3,-1,-24,1,-4.5,26.362954258918762,0.98510824420837,0.0,-0.10981233119964601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,30,31,-0.09342639148235321,-0.4139280617237091,-0.3675770163536072,-1.7213783264160156,0,-3,0,-14,4,-3.0,25.56659972667694,0.98510824420837,-0.10911846160888672,0.0,0.0,0.0,-0.10938329696655275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04143317937850952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,31,32,0.09197207540273666,-0.4091630280017853,-0.1702093631029129,-1.3023687601089478,0,-3,0,-10,14,2.0,27.047322154045105,0.9846156900862658,-0.02766015589237214,0.0,0.04156948328018189,0.013510162830352779,0.08061737209558488,0.043060493469238285,0.04362437129020691,0.0,0.16386810955393316,0.04457904398441315,0.0,0.0,0.08095159560441972,-0.1089094877243042,-0.06881222188472749,0.0,0.08721329867839814,0.08570785315632821,0.08651163876056672,0.11672823476791383,0.04354202747344971
69,31,32,-0.20656311511993408,-0.4096262753009796,-0.3427884876728058,-1.6711522340774536,0,-3,0,-13,5,-2.5,26.5943500995636,0.9846156900862658,0.0,0.0423511266708374,0.0,0.04190086126327515,0.0,-0.10916516780853272,0.0,0.0,0.0,0.0,0.0,-0.10882176160812379,0.04124056398868561,0.0,0.0,0.0,0.0,0.0,0.04160467982292176,0.0,0.0
