episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10
11,19,20,0.2637326419353485,0.4186584949493408,0.3646221160888672,1.374406099319458,0,3,0,11,1,-4.0,15.113537728786469,0.9950112350131176,0.0,-0.10927200317382812,0.0,0.0,0.042332375049591066,0.0,0.0,0.0,0.04457543194293976,0.0413248360157013,0.0
12,19,20,0.15218371152877808,0.41653725504875183,0.6590139269828796,1.8035321235656738,0,3,1,14,1,-4.0,15.035184264183044,0.9945137293956111,0.0,-0.10935763120651246,0.0,0.0,0.04291063249111176,0.0,0.0,0.0,0.04279136061668396,0.0,0.04837785373330117
13,19,20,0.0009999313624575734,-0.41113749146461487,-0.828712522983551,-1.9464514255523682,0,-3,-1,-16,1,-4.0,15.524084985256195,0.9940164725309134,0.04364238977432251,-0.10937231779098511,0.0,0.04310074150562287,0.0,0.0,0.0,0.08351826608181001,0.0,0.0,0.0
14,19,20,0.02667544037103653,-0.4091821312904358,-1.197190284729004,-2.5244266986846924,0,-3,-1,-20,5,0.0,15.345033586025238,0.993519464294648,0.0,0.0,0.04266147017478943,0.0,0.0,-0.10943166017532349,0.04277368783950806,0.0,0.0,0.0,0.0
15,19,20,-0.0769101232290268,-0.3958786427974701,-1.289753794670105,-2.63169002532959,0,-3,-1,-21,4,-1.0,15.419646203517914,0.9930227045625007,0.0,0.0,0.0,0.0,-0.1089281439781189,0.0,0.0,0.0,0.0,0.0,0.0
16,20,21,-0.07014691084623337,0.4012705981731415,0.5162290930747986,1.570473074913025,0,3,1,13,10,5.0,16.31777983903885,0.9925261932102195,0.0,0.0,0.0,0.0,-0.029324208498001103,0.0,0.0,0.0,0.08191307604312897,0.08797747492790223,-0.10882328748703003
17,20,21,0.09661779552698135,0.4009450078010559,0.8181763291358948,1.9988391399383545,0,3,1,16,3,-2.0,16.36711460351944,0.9920299301136144,0.0,0.0,0.0,-0.10881747007369996,0.04417253434658051,0.0,0.0,0.08322698086500169,0.041944146156311035,0.08427790701389312,0.04282107949256897
18,21,22,0.02345924638211727,0.401393860578537,1.06955885887146,2.2771389484405518,0,3,1,18,0,-5.0,17.605750739574432,0.9915339151485576,-0.0662903130054474,0.0897404776275158,0.0,0.04364673495292664,0.0,0.0,0.08705597935914994,0.08401481211185455,0.0,0.04223343431949616,0.0
19,21,22,0.0965920016169548,0.4042489230632782,0.7271258234977722,1.8630279302597046,0,3,1,15,10,5.0,17.553856313228607,0.9910381481909833,0.0,0.09013296487927437,0.0,0.04348720908164978,0.043537139892578125,0.0,0.043690976500511174,0.0,0.0,0.0,-0.10906729698181153
20,21,22,-0.1588362157344818,-0.4044436514377594,-0.551274836063385,-1.6103545427322388,0,-3,-1,-13,4,-1.0,17.353754341602325,0.990542629116888,0.0,0.0,0.0,0.04249740540981293,-0.10887887477874757,0.0,0.043613877892494206,0.08321107536554337,0.0,0.0,0.04199168682098389
21,21,22,-0.080692358314991,-0.41264623403549194,-0.5939525365829468,-1.7473615407943726,0,-3,-1,-14,1,-4.0,17.057580649852753,0.9900473578023296,0.042260473966598516,-0.06682133376598358,0.09013371146798135,0.0,0.04319504797458649,0.043293535709381104,0.0439841628074646,0.12254744678735734,0.0,-0.10920124053955078,0.08517132699489594
