update_step,actor_loss,critic_loss,entropy
364,-1.6966345310211182,0.3690537214279175,
365,,0.394281804561615,
366,-1.6950113773345947,0.19370126724243164,
367,,0.7623741030693054,
368,-1.6631033420562744,0.3585362136363983,
369,,0.1863260120153427,
370,-1.6783654689788818,0.36171412467956543,
371,,0.3114672303199768,
372,-1.6952251195907593,0.37484684586524963,
373,,0.386796772480011,
374,-1.7136659622192383,0.49684053659439087,
375,,0.3765083849430084,
376,-1.7110357284545898,0.2994387149810791,
377,,0.19605261087417603,
378,-1.6840330362319946,0.12868963181972504,
379,,0.4474906325340271,
380,-1.686750888824463,0.5707234740257263,
381,,0.3324871063232422,
382,-1.6974680423736572,0.42140716314315796,
383,,0.2846561670303345,
384,-1.6513919830322266,0.9692972302436829,
385,,0.5427497625350952,
386,-1.6423643827438354,0.28964054584503174,
387,,0.4012352228164673,
388,-1.6457123756408691,0.25698262453079224,
389,,0.3584931790828705,
390,-1.6555427312850952,0.4199928343296051,
391,,0.3281933665275574,
392,-1.7292519807815552,0.2485876977443695,
393,,0.5131071209907532,
394,-1.7585376501083374,0.3667048513889313,
395,,0.40590783953666687,
396,-1.7555413246154785,0.34938257932662964,
397,,0.32203739881515503,
398,-1.7348692417144775,0.22437907755374908,
399,,0.33579257130622864,
400,-1.7175570726394653,0.4298767149448395,
401,,0.44918859004974365,
402,-1.6924189329147339,0.5798170566558838,
403,,0.395951509475708,
404,-1.6983067989349365,0.2891620397567749,
405,,0.3043120503425598,
406,-1.699977159500122,0.4118731617927551,
407,,0.35396555066108704,
408,-1.7577440738677979,0.47423499822616577,
409,,0.49645888805389404,
410,-1.7682769298553467,0.47092509269714355,
411,,0.5772253274917603,
412,-1.7583304643630981,0.34670957922935486,
413,,0.6001377105712891,
414,-1.7521817684173584,0.7160841822624207,
415,,0.42489469051361084,
416,-1.6790555715560913,0.3824388384819031,
417,,0.37004780769348145,
418,-1.694810390472412,0.30047279596328735,
419,,0.3402256965637207,
420,-1.7359070777893066,0.45374324917793274,
421,,0.4642344117164612,
422,-1.7926061153411865,0.3567557632923126,
423,,0.3220691978931427,
424,-1.7676327228546143,0.7668321132659912,
425,,0.44514352083206177,
426,-1.7371978759765625,0.4562881588935852,
427,,0.1242053359746933,
428,-1.797114610671997,0.4871494472026825,
429,,0.33907461166381836,
430,-1.7879877090454102,0.591426432132721,
431,,0.4937519431114197,
432,-1.766278862953186,0.5687299966812134,
433,,0.5948050022125244,
