episode,ep_return,ep_length,global_step,epsilon
142,45.030540466308594,51,13056,0.0
143,45.604610443115234,51,13056,0.0
144,45.721923828125,51,13056,0.0
145,45.05046463012695,51,13056,0.0
146,44.76140213012695,51,13056,0.0
147,46.08460998535156,52,13312,0.0
148,46.61808776855469,52,13312,0.0
149,46.0678825378418,52,13312,0.0
150,46.90986251831055,52,13312,0.0
151,46.79118728637695,52,13312,0.0
152,46.789405822753906,53,13568,0.0
153,24.655120849609375,30,13824,0.0
154,48.74486541748047,54,13824,0.0
155,48.768070220947266,54,13824,0.0
156,48.938148498535156,55,14080,0.0
157,49.702171325683594,55,14080,0.0
158,48.87841033935547,55,14080,0.0
159,48.9825439453125,55,14080,0.0
160,48.398094177246094,55,14080,0.0
161,49.370487213134766,56,14336,0.0
162,51.67647171020508,57,14592,0.0
163,51.311370849609375,57,14592,0.0
164,50.560333251953125,57,14592,0.0
165,52.63304901123047,58,14848,0.0
166,52.7061767578125,58,14848,0.0
167,51.58036804199219,58,14848,0.0
168,53.451473236083984,59,15104,0.0
169,53.693511962890625,59,15104,0.0
170,53.67619323730469,59,15104,0.0
171,53.72969436645508,59,15104,0.0
172,28.468982696533203,34,15104,0.0
173,53.67832565307617,59,15104,0.0
174,54.06425857543945,60,15360,0.0
175,54.74248504638672,60,15360,0.0
176,54.622947692871094,60,15360,0.0
177,54.07122802734375,60,15360,0.0
178,54.5224609375,60,15360,0.0
179,54.38084030151367,60,15360,0.0
180,54.690521240234375,60,15360,0.0
181,55.48234939575195,61,15616,0.0
182,54.4879264831543,61,15616,0.0
183,25.92282485961914,31,15616,0.0
184,55.555084228515625,62,15872,0.0
185,28.573665618896484,34,15872,0.0
186,56.737586975097656,62,15872,0.0
187,55.79875183105469,62,15872,0.0
188,20.642208099365234,26,15872,0.0
189,57.02914810180664,63,16128,0.0
190,56.87221145629883,63,16128,0.0
191,31.488910675048828,37,16128,0.0
192,57.13860321044922,63,16128,0.0
193,27.175212860107422,33,16128,0.0
194,58.114776611328125,64,16384,0.0
195,58.36940383911133,64,16384,0.0
196,58.563079833984375,64,16384,0.0
197,36.59445571899414,42,16384,0.0
198,57.485260009765625,64,16384,0.0
199,58.563026428222656,64,16384,0.0
200,31.9244327545166,37,16640,0.0
201,58.95186233520508,65,16640,0.0
202,34.553829193115234,40,16640,0.0
203,59.618892669677734,65,16640,0.0
204,36.069976806640625,42,16896,0.0
205,31.896636962890625,38,16896,0.0
206,61.73704147338867,67,17152,0.0
207,23.504499435424805,29,17152,0.0
208,36.677371978759766,42,17152,0.0
209,61.4000358581543,67,17152,0.0
210,62.44265365600586,68,17408,0.0
211,62.46292495727539,68,17408,0.0
212,61.051910400390625,68,17408,0.0
213,31.240760803222656,37,17664,0.0
214,63.159881591796875,69,17664,0.0
215,63.17802810668945,69,17664,0.0
216,33.76448059082031,40,17920,0.0
217,65.29094696044922,71,18176,0.0
218,31.29985809326172,37,18176,0.0
219,39.228271484375,45,18176,0.0
220,65.39788818359375,71,18176,0.0
221,64.80806732177734,71,18176,0.0
222,64.86407470703125,71,18176,0.0
223,36.797096252441406,43,18176,0.0
224,65.46040344238281,71,18176,0.0
225,65.41626739501953,72,18432,0.0
226,23.50066375732422,29,18432,0.0
227,37.75881576538086,44,18688,0.0
228,66.85741424560547,73,18688,0.0
229,23.612510681152344,29,18688,0.0
230,41.70848846435547,47,18688,0.0
231,68.48176574707031,74,18944,0.0
232,38.54536819458008,44,18944,0.0
233,67.7856674194336,74,18944,0.0
234,68.32139587402344,74,18944,0.0
235,68.34385681152344,74,18944,0.0
236,33.015480041503906,39,19200,0.0
237,32.47570037841797,38,19200,0.0
238,28.22333335876465,34,19200,0.0
239,69.43562316894531,75,19200,0.0
240,69.1759033203125,75,19200,0.0
241,17.863868713378906,23,19200,0.0
242,70.17556762695312,76,19456,0.0
243,69.6733169555664,76,19456,0.0
244,22.52288818359375,28,19456,0.0
245,69.34033966064453,76,19456,0.0
246,38.034385681152344,44,19456,0.0
247,42.3615608215332,48,19712,0.0
248,38.70282745361328,45,19968,0.0
249,42.963722229003906,49,19968,0.0
250,25.394466400146484,31,19968,0.0
251,72.69153594970703,79,20224,0.0
252,41.469478607177734,47,20224,0.0
253,22.817956924438477,28,20224,0.0
254,73.1865234375,79,20224,0.0
255,40.58823776245117,46,20480,0.0
256,74.232666015625,80,20480,0.0
257,31.878881454467773,38,20480,0.0
258,29.347997665405273,35,20736,0.0
259,37.828643798828125,44,20736,0.0
260,24.64932632446289,30,20736,0.0
261,48.09156799316406,54,20736,0.0
262,37.34175491333008,43,20736,0.0
263,46.025394439697266,52,20992,0.0
264,51.62676239013672,57,20992,0.0
265,77.42698669433594,83,21248,0.0
266,42.97277069091797,50,21248,0.0
267,77.29901885986328,84,21504,0.0
268,30.40503692626953,36,21504,0.0
269,29.443431854248047,35,21760,0.0
270,45.70704650878906,51,21760,0.0
271,78.35659790039062,85,21760,0.0
