episode,step,cart_pos,pole_angle,cart_vel,pole_vel,action_idx,action_val,reward
0,29,-0.23584383726119995,-0.004934523720294237,-0.1655304878950119,-0.15407626330852509,2,0.0,0.9999593496322632
0,30,-0.23743045330047607,-0.0063750045374035835,-0.15337122976779938,-0.1360933780670166,2,0.0,0.9999415278434753
0,31,-0.2389012575149536,-0.007646184880286455,-0.14219960570335388,-0.1198488175868988,2,0.0,0.9999231696128845
0,32,-0.2402656078338623,-0.008764504455029964,-0.13193267583847046,-0.10518933832645416,2,0.0,0.9999050498008728
0,33,-0.2415321320295334,-0.009744946844875813,-0.12249463051557541,-0.09197504818439484,2,0.0,0.9998875856399536
0,34,-0.2427086979150772,-0.010601176880300045,-0.11381600052118301,-0.08007831126451492,2,0.0,0.9998712539672852
0,35,-0.2438025325536728,-0.011345652863383293,-0.10583334416151047,-0.06938263773918152,2,0.0,0.9998562335968018
0,36,-0.244820237159729,-0.011989733204245567,-0.09848856925964355,-0.059781674295663834,0,-5.0,0.9997490644454956
0,37,-0.24790409207344055,-0.015840651467442513,-0.4672222137451172,-0.6306986212730408,3,2.5,0.9995911717414856
0,38,-0.251315176486969,-0.020219840109348297,-0.24527359008789062,-0.2907271385192871,2,0.0,0.9994709491729736
0,39,-0.2536713182926178,-0.0230012945830822,-0.22794027626514435,-0.26711124181747437,2,0.0,0.9993465542793274
0,40,-0.25586262345314026,-0.025562889873981476,-0.21205410361289978,-0.2461453378200531,2,0.0,0.9992199540138245
0,41,-0.25790295004844666,-0.027929794043302536,-0.19749493896961212,-0.22761115431785583,2,0.0,0.9990924596786499
0,42,-0.2598048448562622,-0.030125102028250694,-0.18415296077728271,-0.21131019294261932,2,0.0,0.9989650845527649
0,43,-0.2615799009799957,-0.032170042395591736,-0.1719277948141098,-0.19706185162067413,2,0.0,0.9988382458686829
0,44,-0.26323869824409485,-0.03408414497971535,-0.1607276350259781,-0.1847020387649536,2,0.0,0.9987122416496277
0,45,-0.2647910714149475,-0.03588538244366646,-0.150468647480011,-0.17408186197280884,2,0.0,0.9985869526863098
0,46,-0.2662460207939148,-0.03759033605456352,-0.1410742700099945,-0.16506628692150116,2,0.0,0.9984622597694397
0,47,-0.26761171221733093,-0.03921430557966232,-0.13247448205947876,-0.1575329750776291,2,0.0,0.9983376860618591
0,48,-0.2688957154750824,-0.04077146202325821,-0.12460532784461975,-0.15137135982513428,2,0.0,0.9982128143310547
0,49,-0.2701050341129303,-0.04227491468191147,-0.11740849167108536,-0.14648142457008362,2,0.0,0.9980871081352234
0,50,-0.2712460458278656,-0.04373684525489807,-0.11083061248064041,-0.14277297258377075,2,0.0,0.9979597926139832
0,51,-0.27232471108436584,-0.045168593525886536,-0.10482307523488998,-0.14016486704349518,2,0.0,0.9978302121162415
0,52,-0.2733463943004608,-0.0465807281434536,-0.09934147447347641,-0.13858428597450256,2,0.0,0.9976975917816162
0,53,-0.2743161618709564,-0.047983139753341675,-0.09434527158737183,-0.1379658430814743,2,0.0,0.9975610971450806
0,54,-0.27523863315582275,-0.04938511177897453,-0.08979751914739609,-0.13825127482414246,2,0.0,0.9974198341369629
